,reply_split,classification
381,No one but.,0
4148,"Serving I found did not have too much of a difference, maybe a little less spin, but not really much to make a huge difference.",0
4643,I don't think you will regret it!,0
2161,Chinese rubbers,0
767,That is one radically light rubber.,0
2618,"The question, though, is ""how high""??",0
4367,Another player at our club (very strong -US2450-2500ish) had a similar problem with it.,0
409,But manufacturers probably don't want that kind of transparency.,0
4180,"Some of the Boost series felt ok, but I didn't feel like my shots had much penetration.",0
499,"I see how they open vs underspin slow, how they open fast, how they drive, how they push, how they do topspin to topspin at and away from table, how they block passively and actively.",0
3329,Is that a way of saying that it gives you a lot of room for error due to the arc?,0
267,Tenergy has many complaints of it being non-durable.,3
674,Hopefully I'll come across somebody playing it.,0
1885,Hi Gezim the rubbers have not been released so I don't think no one has any idea just yet.,0
2019,I think that is kind of what tinykin meant.,0
686,Interesting finding:I recently tested out Mech-Tek on FH and Super 999T on BH.,0
445,"People will pay astronomical prices for these, hence all the fakes.",0
763,Thanks folks- my current AK47 has red/peach sponge and yellow sponge.,0
1379,I decided to risk and buy Tenergy.,0
483,Why?,0
1349,Short pips?,0
4366,I have had a few brief hits with Hexer HD and found it fast enough but lacking in spin when looping.,0
2222,"My backhand game consists of a lot of blocking, quick driving and looping, I use more the full arm to accelerate and create spin than my wrist so I guess T64 could be the better choice for me... Im gonna let you know how itll worked out!",0
802,Each time with three layers of FTL.,0
946,May be good for sleeping on but probably not good for TT.,0
461,"Omega VII PRO is more Forehand rubber it is fast with good control, with good grip, with very good feeling but when you make full swing it is really beast",3
5,For my style I really prefer T64fx than T05fx ( always 2.1 for me).,1
767,Thanks for your opinion.,0
4352,"The Andro distributor is in VIC, and since they let many people try it and spread the word, a lot of people like it and change over to it.",0
1384,"I would not put too much trust into this specific review: reviewer pretty much enumerates his equipment history as a 6$ Sportscraft paddle from Walmart, another premade from Stiga and then jumps into TBS and Tenergy.",0
781,For a 40degree one you just need 2-3 layers.,0
1325,If you like to step away from the table and play loops and topspin drives then the Tenergy is a great rubber for that.,0
355,"It worked perfectly on a Off- allwood blade, but when I changed to a off- 5+2 blade with carbon/kevlar next to the inner ply, I had some problems with it.",0
2034,"Despite hard, very elastic top sheet and lovely sound.",4
50,Depend on your skill.,0
3605,"Now it is perfect speed, I really feel my game improving every day!",0
4410,hi i bought a tenergy 64 2.1 mm because the vioncello is slower than joo se hyuk...today i will try,0
299,"I used MX-S on backhand for two blades, one is timo boll spirit, and one is innerforce layer zlc.I've always like a boosted h3 neo (soft) on bh, 37-38 degree, problem is i dont like the reboosting process ,costly and the rubber dont last that long especially after second reboost, even the tackiness is affected by then which hinders me from sticking to it.mxs somewhat let me relive that h3 neo bh era for a while after using t05 for a some time now.like h3 neo, u better know how to use ur wrist on this rubber, to me rely alot on surface of rubber to produce the spin vs hitting through it, especially when taking serves, and third ball attack.mx-s suites the zlc more than alc blades imo.",0
1890,"Only been back playing for the last 5 months and took the decision to try some none sticky rubbers with maybe a bit more speed but still need to feel in control.I was given some rubbers to try by someone which includedTenergy 05 - way too fast for me and hard to control.MX-P - too fast, too springy but good spin.FX- P - quite liked this rubber.",3
1112,To who would you recommend it?,0
515,He will tell you the same things I have said about equipment selection and probably say it easier and better than I do.,0
971,"Also, the new ball has made that generation more playable across the board even Hexer and Genius.",0
4067,But I didn't felt that much deference from Hexer HD to change.,0
1364,R50 is slower than R47.,1
354,I haven't tried fx-p but used el-p on backhand for a couple of years.,0
314,Ten is heavier,2
1779,(most prefer soft european rubbers) but well you dont have to go for what others prefer but im just recommending a soft one because with BH soft rubbers are catapult like and helps you make the BH a lot easier,2
424,"O7P is definitely a solid rubber, it has that 'click' feeling when you hit which is awesome.",3
2575,"i'm interesting to try xiom rubbers for my fhmy setup is:def blade: Donic Defplay Sensobh rubber: TSP Curl P1R OXi read some reviews on xiom rubbers and i decided to pick:Xiom Vega ProXiom Sigma I ProXiom Sigma II Probut really dont know what to choose from these 3i read Vega Pro is mostly used (even some pro players used it, eg.",0
376,I've been using EL-S for about 15h (which isn't that long) but I'm finding it great.,0
484,Because it's business.,0
956,Add to that a lower arc and it's a different proposition.,0
2135,But the rubber is not that fast and is a little bit soft.,4
686,Is Mantra (esp.,0
383,Would you please let us know wha tis your usual cleaning routine.,0
466,I believe firmly that it is important to know what category and softness/firmness of sponge you need to play the kind of shots a player does given his/her impact.,0
254,it surprises me that Ten05 is less durable(price) and less spinny then the Baracuda.,1
110,Very strange to see a post I wrote 4 years ago being quoted out of nowhere.,0
4666,"Sorry, was away for a day and couldn't answer.",0
1454,"So if your next ball is a topspin, go for EL-S, if you open up to enter a game of block and counter stay with EL-P.",1
960,I'm in the same boat as you; I don't have a tournament to play nor do I make a living off TT.,0
4280,"I have never had anything I did make top hit for a google search, prolly never happen again.https://www.google.co.kr/search?num=50&hl=en&safe=off&site=&source=hp&q=tibhar+eveolution+rubber&oq=tibhar+eveolution+rubber&gs_l=hp.3...1645.6461.0.6765.24.23.0.1.1.0.233.2454.9j13j1.23.0...0.0...1c.1.O16YG1rjbqYHere is the doubles vid goofing off, which we lost at deuce.",0
4287,right guys i should have Prices for you guys in about two weeksalso there might be a chance of some Chiese shirts.,0
4141,"i'm realy interested in a comparison between these 2 rubbers,are there real differences here,more than just the color of the sponges?",0
461,"The ""white label"" National sheets are here:https://www.aliexpress.com/item/DHS-Ori ... 34108.html""Ma Long"" version..  https://www.aliexpress.com/item/DHS-Hur ... 72128.htmlThis really isn't that expensive ($85 for the Ma Long version).",0
1361,And a lot of people would have a hard time telling them apart.Iskandar,0
2041,better control?,0
203,"IMO, get a 2x rubbers + 1x blade at less than a price of those blades you have in question, and I'm sure that will be better for you.",0
4273,my sheet was Red max sponge MP-X cut and water-glued to a different taller Nexy balde tested previously by nexy prez Moon for a session.,0
4137,"So what ever the better rubber is, bluefire or rasant, I'll migrate to that one for my BH... Alternatively I could just buy another sheet of T05fx, but this is more fun... and educational.",0
1496,I think I'm gonna be sticking with Stiga blade/tacky rubber for quite long.,0
1366,What is your strongest / most played shot on your backhand?,0
89,Verstuurd vanaf mijn SM-G900F met Tapatalk,0
838,"And it also claims to be a ""backhand rubber"".",0
184,"Nowadays tactics are focused on playing short only with BH side, so we can say FH rubber can be very aggresive to make powerful and spinny topspin, while BH side should be more allround to be able playing pushes etc.",0
869,Iskandar,0
1481,BH-NEO Hurricane 3 2.1 37,0
1493,"The spin is good, especially on serves.",4
1448,thanks this is what I wanted to hear.,0
4288,possibly olympic ones as well,0
477,Works a treat.,0
1502,I was recently recommended Barracuda for someone who pushes a lot and wanted lots of spin.,3
411,"There are two GA8s, 47.5° and 50°, in two thicknesses, 2.0 and 2.2mm, and in two colors, red and black.",0
1381,i cant tell if there are differences in dwell because i only hit a few times with the mantra M.,0
625,Sponge is solid.,4
443,These often come in generic/plain packaging because if you're makiing 20-30 sheets for some pro there's no need to put it in retail packaging.,0
340,Probably depends on how hard your counterloops are.,0
729,If you like the H3 feel maybe Xiom Vega China is what you're looking for?,0
887,).,0
1890,Maybe i have to risk this time with Genesis and become a test men myself.,0
2122,"If you got something like a Primorac Off- or a Petr Korbel and used it with the same rubbers for a while, once you got your touch back you can just go back to the old blade and it won't be much of an adjustment because you were using the same rubbers on a blade that is slower with more control.",0
167,For loads of pro players and kids aspiring to be pros they are the best.,0
812,Wow..,0
396,"Genesis is a hybrid rubber which pretty much plays like a Chinese rubber, sticky surface but very little catapult to support strokes, it must be played more actively than Mantra.",3
2658,It was 0.182g/cm2 (in 2.0mm)... which is among the lightest I have seen!,3
1458,But since I am trying to open the game with first topspin attack EL-S should be more suitable.,2
1503,It's certainly a good looping rubber.Sent from my SM-T210 using Tapatalk,4
563,I use skyline tg2 neo for both forehand and backhand on a pg7 shakehand.,0
1503,And for the backhand i prefer euro rubbers.,2
502,"Made sense back when ""National Version"" meant personal rubber, probably not so much any more, with DHS selling their own official ""National versions"" with holograms.",0
732,It's a great half tacky rubber Xiom produced.,4
1172,"And the ones I play, I mostly get for free, and they´re easily good enough for higher skills than mine, so that´s money saved and no considerable disadvantage for me.",0
1774,"Anyway, what i want to tell you is that if you want to use Hurricane 8 or 3 Neo, you have to use a bit more strength compared to when using european rubbers and that you need to make small changes in your technique because from what i heard from the others who used chinese rubbers before, they had shoulder pain and etc when using it",0
1905,"Is it just a softer, slower Rasant?",0
4668,"I played with R450 for about 2 years, then went to Hexer Plus basically.",0
258,"Tenergy has a slightly higher throw angle than Baracuda, so looping heavy chops may be a little bit easier, with a greater arc on the ball.",1
797,Iskandar,0
476,"To be frank, i find that the Loki GTX pro allows me to reach similar sorts of level of play as the H3 National BS, but I am not an elite player by any stretch.To clean rubbers, I use a couple of drops of olive oil, which are spread all over and then wiped off immediately with a lint free cloth.",1
4156,"Guys that don't hit the ball at 50,000 miles per hour or depend on the blade for spin but rather work with the sponge to get spin.",0
178,"T80 is more suited maybe for close to the table, while T64 can go further back.",1
317,And with a good technique you can play with every rubber.I am playing at the highest regional level so mine technique is certainly not the best but my FH loop is relatively good.But there is ofc a difference between all those rubbers.,0
823,Which reminds me..,0
3601,Do not make the same mistake as I did.,0
112,"Yes, I was looking in the Tenergy family what's fitting the best with me.",0
1904,I've always wondered what the thing behind Rasant Beat was.,0
1410,i would go with the rhyzm regular.,0
1063,"You're right, MX-S is better than MX-P, where the booster effect wears off pretty fast and it becomes eh...",1
384,Depend on how good your BH is.,0
741,"With powershots away from the table, it outclasses H3.",2
2936,Haven't used this but the joola rhyzm 42.5 is highly thought of as an excellent BH rubber.,0
2220,Thanks for the advices.,0
1415,when we say standard or regular rhyzm we are pertaining to the 48 degree rhyzm,0
627,Recommend boosting it.My buddy tried the Mech-Tek predator.,0
502,That is how you I can get someone to realize the class of equipment suitable for them.,0
4364,I'm currently using Omega IV Pro on my FH.,0
1321,Enviado desde mi Moto G (4) mediante Tapatalk,0
918,Do you think the rubbers can be taken off and replaced without splintering the paddle since they wouldn't have sealed it with lacquer?,0
945,with H3 and other hard°rubbers i only could do hard shots.,3
4652,"Maybe that is the case with most tensors?Also rubbers hopefully develop and maybe rasant is better than roxon?I've tried hexer to see if it was less bouncy in the short game.It was, but I found it too slow.",0
1350,Iskandar,0
819,"The 999 series is really old, think Hurricane predecessors the likes of G888 which I used extensively during my early days.",0
1783,"Because from what you said, every rubber is good at flicking and etc it just requires skills so yeh",0
2238,"He might mean to say, ""Choose H3 Neo.",0
1211,My main question was about getting used to it and go for a little softer Tensor Version or stick with the comfortable/safety option H3.,0
1750,"Get the hardest one, and the softest one.",0
179,"Nor is Evolution MX-P, Rasant Turbo, etc.",0
521,"42 on the DHS scale apparently means very hard - maybe 38 or 39 on the DHS scale is the same as 42 on the 729 scale while 42 would be equivalent to, say, 46.",0
746,The spin is mediocre compared to H3.,2
189,But they sacrifice on control.,2
792,"Actually, I'd say MOST Chinese rubbers are of really good quality.",0
4004,"it`ll never happen but they ought to do a tenergy def version with a slower spring sponge,would be great for chiselling",0
632,The topsheet had less tack compared to Sevens.,2
1933,"The sheet has already arrived, but i just also received a h3 rubber unexpectedly a couple of days ago, so the RD's still gotta wait a bit.",0
667,"However, I wouldn't hesitate to play Mech-Tek on my FH, which to me felt a lot better.",3
1072,I have a TB-ALC.,0
609,Really depends on your swing speed.,0
680,That's already quite punchful to me.,0
2064,+1.,0
763,"After the tackiness almost disappears, it is where the rubber is very good to use in the bh.",0
94,It's when you try to just touch the serve without any acceleration that using T05 is a nightmare.,0
1381,There are different opinions about them.,0
968,"When I find the best rubbers (for me), then I will use that as my primary blade and make the configuration on the backup blade the same.The search continues...",0
4155,"It's very good at lifting heavy backspin and doing it easily, it suits guys that can use the extreme bounce of the rubber to make heavy spin with that bounce, not to go forward, but to make spin with the bounce in diagonals out of the sponge.",3
656,GoldArc should be somewhat spinnier but i like the Mantra M as a bh rubber better because it is not spin sensitive abd it is more bouncy.,1
2562,I found Vega Europe bottoms out.Vega Pro is a very popular rubber.If you are a beginner/intermediate level player I dont think the difference between them will be that noticeable.,0
661,I have 4 setups that I can play with and I'm very comfortable switching among them.,0
888,"No exposed topsheet photos so I can't see the headstamp, and it's a $20-25 rubber so I'm not likely to get a sheet just to see...Iskandar",0
4106,This is exactly the output I am expecting but I was not able to communicate it sufficiently.,0
1050,"Also, mxs is much more durable.",2
4003,"sponge Boost TP generating heavier topspin than T05 when I block them, time after time.",0
229,"Baracuda is not as heavy, but in my opinion, just as good.",2
185,"T05FX is much easier to control and if you take it with 1.9mm, it is great for everything.",2
2951,It was heavy and gave a hollow sound.,4
3572,"Why do I see pro players using H3N on backhand while they use rubbers from the TGN series on forehand, I'm wondering because when I see them play they usually use their black rubber most of the time.",0
649,I definitely agree with Haggis.,0
197,"The feeling of the sponge when ball goes through, the extra dwell on it, but i've only tried tenergy 05 and 05 hard and not others ( hard is not worth it to me) but normal 05 on bh is the best for me now, and on fh , most rubber i can play well just need adjust angle but i've been using h3 neo for so long so im used to that rubber for fh.",1
420,Were those in the same condition?,0
72,Or do you want lower shots that don't come up as much and are faster.,0
272,I didn't want to spend more time on adjustments.,0
347,"The answer is going to depend on how much power/speed you want to have, you can loop with soft thinner sponge, it won't be the same as with thicker sponge since it will bottom out easier.",0
1352,It's more all rounded with better attacking potential.,4
1502,Serves are just so much fun with em!,0
1785,Cheers!,0
532,Gearz is barely palpably harder than BD.,1
3321,Genius Sound / Omega IV series Europe Up to date option.,0
368,Also EL-S is more spin-sensitive than MX-P.,1
4276,What is differnt on this rubber is the pimple geometry.,0
1048,"I would like to state again that my level is much lower than most players here and probably I can't review the whole potential of the rubbers, I'm just saying my experience.",0
1373,"For me, I could play both offensive and defensive easier and better with it than using T05 (for me easier to use offensively than defensively).If you are higher level and/or want to put in the hours then you could any offensive rubbers and use it defensively too like Joo, etc.My recommendation in part because it works good right now and better the longer you put practice into it, compare getting something like T64 which will work after putting some long hours into it.",0
209,Iskandar,0
826,Iskandar,0
4339,I would think either would be fast enough.,0
935,"Iskandar, I'm looking for a backup racket with substantially similar characteristics to my primary one; hence my question about the premade.",0
1299,"Hi, I have used the Focus III extensively 5 years ago and recently bought the AK47 Blue.",0
286,"It is a matter of timing to ball in the right part of zone right height impact, shorter stroke and control of grip and acceleration.",0
603,"My loops, when they cross the net, are pretty good.",0
761,Because I can control H3 way better.,2
954,"G1 and Baracuda are from a similar ESN release cycle, have a lot of similar properties.",1
578,"H3 takes some getting used to, though, it's quite slow.",3
500,There used to be all sorts of guides to tell you how to tell real from fake National H3.,0
581,Thanks.,0
1902,"All in all , don't delve too much on what rubbers you use, each have small intricacies that cater to different players, and small quirks that some players like some doesn't, but with good training, given time you can eliminate all the factors ( throw angle, speed etc) of the rubbers and make it work for your game.",0
197,"Timo boll spirit, ALC, ZLC OR ZLF",0
1506,I also know for a fact that some forum members use one of the Bluefire rubbers.,0
334,"If I miss a shot, I don't ever blame the rubber.",0
238,Maybe because the topsheet is a little bit harder.,2
64,"Once I am able to search for it, I will post it here.",0
2559,i also want to know   From what i've used:-Vega Europe = Sriver EL GluedVega Elite = Sriver FX Glued,0
1447,A Quantum rubber compared to an Evolution rubber will most probably feel like a step back as the Quantums are meant to be more safe and easy to play.,1
2604,Believe me.,0
4328,"This question interests me too, because my friend is making a decision between these two rubbers.I think that HD must be faster and spinier, but what I want to know most is: how much harder is HD?",0
634,"Given this specs the MX-P is more difficult to play, but if you have the power and the proper technique you will find it a better rubber for your forehand.",2
1912,Sigma 2 euro first of has a softer sponge and overall softer feel.,2
2942,Most use it on the BH but also works well on the FH particularly if your blade isn't too stiff that is has a bit of flex.,0
611,A more advanced player thought Burst/Thor''s Hammer fine.,3
625,"I don’t know if it would fit you, or pair well with your new FH rubber Donic Bluegrip V1.",0
2649,"Haggisv wrote:Speed ratings are useful, but they also depend on which stroke you play.I'm going to chop/attack with it.",0
3585,"The 896 is a horrible blade, I've had a few of them and all were stiff and hard.",0
1317,I agree with Tony; and would recommend the 2.0 thickness for Vega Pro & Europe,0
99,"But I remember when I tried it, I didn't try for that long and was used to T05FX and didn't give it much of a chance.",0
1490,Euro vs Chinese rubber battle continues...,0
1465,A wonderful rubber and Xiom's highest selling rubber,0
192,And is Tenergy 05 a good choice for a FH Rubber?,0
383,Genesis 1 m is not fake it plays like fake xd,0
2211,I saw your post on mytt as well.,0
804,According to Prott any H3 with blue sponge is more likely to develop bubbles after boosting.,0
4057,Oopss  lol I got the D right hehe.,0
1055,Rakza7 is spinnier.,2
1400,2.2: around 45g-50g,0
1485,Awesome topic!,0
623,Good grip.,4
844,It's $77 at Eacheng...,0
1344,The main drawback of Tenergy 05 is that it's quite sensitive to incoming spin from your opponent.,3
2134,Very good for controlled looping and you can also hit the ball hard when needed.,4
1436,Briefly it was on my bh and ws excellent control and punch blocks were really easy.,4
2964,"You could try the Rasant Grip, its the new one with a medium sponge... but I haven't used it so I'm just guessing here.You could try something like BlueFire M2, or Xiom Omega Euro.",0
1888,"Hi Red,I played for two years about ten years ago and used sticky Chinese rubbers as they were easy to spin and offered reasonable control in the thin sponges I used.",0
3328,"Many of the commenters on the TTDB mentioned the fact that it has a ""Big Window Effect""...not sure what that means.",0
737,Sent from my PAR-LX9 using Tapatalk,0
694,Flicks are almost effortless.,4
839,"Hi, kind of off-topic to here but did not want to create a new topic just to ask this question:",0
1389,"In that case, go for Tenergy 05.",0
4092,Opinions between these two appear divided.,0
567,"If you are a mid-distance looper, this rubber is not for you- it is a monster in the close game but when I take a step back my loops fly into the net because of the low throw.",4
4117,I have switched to Rasant from Hexer Plus on my main setup simply because I like the feel of Rasant more and I get more spin from it in almost every situation...and more speed.,0
3340,Could opt for a 2.0 This would be more lively than Vega Elite & Vega Europe.,0
756,"I'm using one (On another setup) that has a sponge hardness of 39° - 41° ... You could also check-out various rubbers by LKT/KLT, Yinhe, and other Chinese brands...",0
4165,"It is a touch slower, and the ball feels different.",4
593,Sent from my iPhone using Tapatalk,0
177,"Oh yeah.. the now defunct Three Sword Red Dragon, which was supposed to be ""better than Butterf-- Tenerg-""  and before that, Rakza 7), but it's hard to tell.",2
1507,B/H H-3 Prov.,0
2241,Most people here will suggest it for beginners.,0
322,Both of the two Xiom rubbers that you mentioned are great looping rubbers.,3
54,It is the pimple construction.,0
412,Red and black felt the same to me.,0
4034,I just looked up Joola Turbo on http://www.tabletennisdb.com/rubber/This website provides an AWESOME database of rubbers and blades with many ratings on the rubbers.The Joola Turbo is rated a 6/10 on speed and a 6/10 on spin.,3
4150,The Rasant is feels more suited for a counter hitting and flat driving/hitting sort of game to me.,0
473,Watch Dan and Tom as they do video reviews of equipment.,0
471,it is next to impossible to say that without having been around a player and be on the other side as the player tries different rubbers on same blade and you feel and see what that player is doing.,0
769,[/QUOTE],0
4147,"Again both are fast rubbers so I'm unsure what the difference is with the Rasant to make it more difficult playing the same short strokes, the Rasant does feel faster on the TB-ALC.",3
4118,"Its not a huge difference to Hexer Plus in feel, and I feel they are almost interchangeable for me, but Rasant just feels slightly more polished somehow.",0
2935,Probably too soft.Joola rhyzm.,0
4357,so please let's try to stay on that course...thank you all for your replies!,0
3568,"My setup is kinda on the heavy side with 186g, but the blade alone weighs 90g, so with a lighter one, he should be ok.",0
201,"I've been wondering about that too, because it's relevant to finding out the real cost of rubbers.",0
938,"I think I'll go for the paddle alone so that I can seal it properly prior to putting on the rubbers.Regarding the Palio rubber hardness, Palio says it is per the 729 hardness scale, which, looking through the forum appears to quite a bit softer than the DHS scale.",0
904,"I could loop, block, hit, push, serve, etc.",0
400,Its really difficult to cut.,0
178,"In any case, it's NOT something I couldn't control nor play with, which if you read all the online reviews and recommendations, what you'd expect if you were a low-ranked club-level player.",0
262,"I used to play with MX-S 1.9-2.0 mm on my FH before I started trying out hybrid rubbers.MX-S has the hardest sponge among the Evolution series (and thus is the heaviest one, I believe).",2
762,I am using vega china as a bh rubber now.,0
2214,T05FX.,0
1771,"Hi Sakumi,",0
1892,Many shots going off the end of the table.Joola energy 325 soft - using this now and have to say I like it in all aspects but have found I just clip the top of the net with alarming regularity.,0
523,It's funny - 729 uses the 729 scale with everything they sell EXCEPT for Battle II - the numbers used for that make me think it's the ESN scale.,0
1740,In case you can't figure out which CJ8000 you have..,0
505,It is very well know what is similar to Rasanter 47... MX-K is the first rubber to come to mind with similar properties on the low to medium impacts.,0
216,So professional tend to use the most expensive rubber available  and the most boosted.,0
4113,He says they have some of the same feel.,0
1407,Arc is medium-medium high and a long trajectory.,4
605,"Well, you know how they say that the real one is available just for the Chinese national players.I did not check the serial code but even if I got a fake one, I am interested to find out if there is a big difference between the normal version and the NEO version of this rubber.",0
643,That is not what I wanted to hear .,0
4377,Topsheet on Pro might be marginally softer but the sponge is even harder than on Asia whcih makes it really hard to do good attacking shots.,0
2574,"As it is, I still really like it.",0
1203,Power will come in time.,0
1080,It seems to be between S2 and MX-S.,2
2123,But if you change the rubbers to Sriver or Mark V then you will still have an adjustment for the rubbers and rubbers like Sriver or Mark V on a TB ALC is a bit weird.,0
3656,I go with Baracuda.,0
4342,He is a big BH player and Andro hexer HD on his BH as it is fast enough with his uper power but the OIV euro to speed up his FH,0
1302,"For a cheapy with higher surface grip, try the ktl series (pro XP, Rapid Sound etc) both are almost as light and a bit more spinny, speed as with the Focus on the medium-low side.",2
1784,please be more specific,0
2199,i wou;d always go for tenergy 05,3
3555,Same price range and much better performance for Chinese rubbers.,4
1207,First off thanks for the replication!,0
1071,I think it has good things from both rubbers.,0
4074,!,0
857,"I'm currently looking at those rubbers in the 2.0/2.1mm thickness and, if that isn't available, in Max thickness.",0
2065,"MX-S, which I use alongside T05, requires you to use a larger stroke or have extremely fast hand speed to play with it comfortably.",0
4097,I use a tacky rubber on the forehand and prefer that over any Tensor or T05.,0
4111,Petermoo has a review an compares it to T05.,0
809,Tony had advised me 3 yrs ago.,0
1053,Rakza7 is about 4 times as durable than anything in the Evolution series.,1
974,"Unlike the others that started with a bang and then sank into oblivion, Fastarc G-1 has been in and out the top 10 of Table Tennis Kingdom sales ranking during the last years of 40mm, and only really became a best-seller well after the switch to the 40+(July, 2014).",0
814,Thank You for the reply.,0
4116,"Its a beast in being able to spin up the ball in Tenergy fashion, but remains fast when hitting with less spin and more slap...more along the T64 line, less along the T05 line (I found T05 to be quite slow when slapping).",4
2652,Would that work out?,0
4338,Speed wise I find the Hexer HD pretty quick...,0
522,And all of these Chinese rubbers are supposedly harder than even 50 degrees on the ESN scale.,0
431,"If you want more grip, you might have to go tacky.",0
568,Nothing but Tenergy 05 Hard!,0
973,"It was released in July 2010, so over 2 years after Tenergy and close to 1 year after Baracuda/Hexer/Genius/X-plode.",0
4270,"It plays a bit softer than Aurus, but i doubt the sponge is any softer.",2
272,Maybe because the topsheet is a little bit harder.,0
513,erm comes to the club daily with a dozen combinations of blades and rubbers and tries them ALL.,0
249,I also personally think that Baracuda is a much better rubber in terms of worth for money.,2
972,The Fastarc G-1 is an absolute oddity.,3
585,My topspin is clearly too much for many club members.,0
1762,"CJ8000 in 36-38° vs 45-47°, you can't have such a numb hand.",0
355,I think it does.,0
877,"It too has ""Tenacious Violence"".",0
631,"learninTT,I tried Zero blue sponge in 2.1mm.I had no issues.",0
571,"Unfortunately, I'm asking experience from fellow penholders, but yeah, thanks?",0
917,"Iskandar, I have been meaning to ask you how you find the premade racket with T88-I and T88-Taiji?",0
837,Falco long.,0
517,"Also, based on the information you provided, it appears I am the one that needs to call them up to determine which one to purchase  Please share your opinions about the performance of the Burst Blue Diamond in comparison to the Thor's Hammer.",0
4329,"Know nothing about Hexer but i have used Xiom Omega IV Asia and Pro, on the same tri-carbon blade.",0
670,"that's ok. From my experience, it is mostly true though.",0
1451,It shouldn't be much different.,0
1389,short game pushing needs a little attention.,0
658,I played with it for a couple months and it's actually a pretty good setup for beginners and even for intermediate.,0
1411,"the tech version seems slower for me but if you hit really hard and can control it, the rhyzm regular is really good.",2
1397,I havent played MX-S.,0
620,I'm familiar with these rubbers.I've been playing with Burst thors hammer on my penhold forehand since January.,0
4375,By mistake I got a sheet of Pro and I use it on my forehand and Asia on the backhand.,0
934,This depends on your technique and habits IMO.,0
1794,treatment should be on the bare sponge (without any glue applied yet) and left alone for 2 - 3 days.,0
1382,I personally think that El-s is a great backhand rubber but it has its flaws.,3
1938,"It is cheaper, much cheaper at http://www.stalotenisui.lt/index.php...tegory&path=20",0
2167,"I've read most of the article by those chinese, they like to pair Hurricanes with Stiga's blade such as OC and Yinhe MC2.",0
79,Sent from Deep Space by Abacus,0
641,"Both are very fast, but (again, to me) feel very controllable.",2
361,Sorry.,0
442,DNA M,0
803,I had one incident of bubbling with my H3 blue sponge.,0
452,Iskandar,0
4107,"I love playing my T64 and when I tried using Samba +, I am not satisfied with the topspin speed.",0
2076,"They have great control, but at the same time they are fast and very spinny.",4
2551,In my opinion the newer stuff is better.,0
204,"Unless you think most expensive is the best, or fastest is the best, or spinnest is the best etc.",0
1204,Find something reasonable and stick with it.,0
3558,"The variety of Chinese rubbers is at least as great as those Japanese or German rubbers... so NO, not all Chinese rubbers are like Gears",0
185,"Maybe for the pro - Hurricane and Tenergy are the best.But in my level and those below it, playing against tenergy, dignics wielding players , it is not the best.",1
1486,"I am really not to sure which I prefer my old Chinese coach use to have province Hurricane 3, the way he glued it was fantastic.",0
1324,Without knowing enough about your level or how long you have been playing or what your playing style is it is hard to give good advice but I will try.,0
570,Anyone hear anything more about Dignics?,0
2570,@carbonman : I prefer a softer feel for my rubbers,0
356,I suppose the only time I've heard someone recommend thin(ner) sponge (i.e.,0
1304,FSIII is better and easier at flat kills and brush loops.,3
2656,Yes the tokyo is a little faster than the regular 868.,1
182,The problem is that some blades which are very offensive makes the set up with tenergies not easy to control.,0
402,1 sheet is 3 months old playing 5+ hours a week and the other is 3 weeks old.,0
1452,"The EL-S sponge is a little harder in average, the topsheet is softer and even more grippy.",2
1756,Be patient getting the rubber onto the blade.,0
295,Also excellent soft defensive stroke results.,3
213,They don't just go for the fastest.,0
269,Your footwork needs to be good.,0
759,"Usually the light ones have a softer sponge, which will play differently.",0
2021,To make tacky rubbers excel it recquires a full arm swing stroke with a very brushing contact of the ball.,0
188,"T80 with different dimension of pips makes the ball going higher so it is much better to play further then T05, but I cannot compare it to T64 because I have never try it.",1
1388,I have a sheet of H8 on my old Defplay and it's quite spinny even with the tackiness almost entirely worn off - I get a lot of mileage off of serves with that setup.,0
2125,Try a few mates' bats and discover what works for you.,0
2929,Used it in max on an innerforce ZLC & a xiom zetra quad.,0
1285,"I have used both rubbers on BH and i prefer EL-S...much better than EL-P for looping, block, attacking both in short and awa from table",1
612,Mech-Tech is bouncier and spinner than either Zero or Sevens.,1
429,"Of course that requires a near-perfect technique and adequate leg/upper body power which most people who are not in the CNT don't have.That being said, you do bring up a good point that maybe tack is overrated as the cause for spin if your technique is not correct.At this time, based on all the feedback, I've decided to stick with my STN and will try the Gambler Burst Thor's Hammer when I decide to change from it.",0
3565,"Chinese style rubbers are slow at slow strokes, so OFF blade should not very too fast for beginner.",0
623,"Since you are just getting back to the game, and was previously playing with a DHS premade, I completely agree with the suggestion you were given of going with a softer rubber on the backhand.",0
1916,Meanwhile Sigma 2 euro slightly easier to control.,2
4168,"Some people have described it as more ""liquid"" and that is about right, as if the top sheet is more pliant.",0
545,"I could see Gearz replacing Blue Diamond for rubbers intended to be high performance (Burst, Big Gun, etc.)",1
68,"1) T05: Slower, More Spin, Higher Throw Angle.",2
661,Much more spin sensitive than Mantra M.,2
2565,i really think that vega europe lack the spin that i need.,3
1443,"I would deffo try els, just a spinnier verion but though it had enough speed and control but with an extra bit of grip on topsheet.",2
327,T05 is still the best counter looping rubber I have ever tried.,3
787,"Only a year or so ago people were complaining that Nexy Karis sheets had HUGE weight differences, and that's a $50 sheet.",0
2037,M1 turbo feels a lot harder and is way faster and lasts less.,2
