"comment_idx"|"id"|"thread_title"|"reply_split"|"classification"|"relations"|"Entity 1"|"Entity 2"|"Attribute"|"Direction"||||||||
4079|"5f6c2cca7da9e46ccbe155c6"|"Tibhar 1Q XD or Andro Resant on Forehand"|"I think the Rasant and the 5Q are nearly the same, but in my opinion, the 5Q´s surface is better."|1|"[['Andro Rasant ','Tibhar 5Q','Overall','g']]"|"Andro Rasant "|"Tibhar 5Q"|"Overall"|"g"||||||||
4080|"5f6c2cca7da9e46ccbe155c6"|"Tibhar 1Q XD or Andro Resant on Forehand"|"If you compare both, you will see, that the Rasant´s surface is more matt and the 5Q more shining and seems to have more grip."|1|"[['Tibhar 5Q','Andro Rasant ','Tackiness','g']]"|"Tibhar 5Q"|"Andro Rasant "|"Tackiness"|"g"||||||||
4099|"5f6c2cdc7da9e46ccbe155ce"|"Comparing Tenergy 05/64 vs Rasant vs Bluefire M1/M2/M3"|"I just find Rasant ""less not good"" .I also perceive it makes more spin than T05 when playing against them."|1|"[['Rasant','Tenergy 05','Spin','g']]"|"Rasant"|"Tenergy 05"|"Spin"|"g"||||||||
4157|"5f6c2cdc7da9e46ccbe155ce"|"Comparing Tenergy 05/64 vs Rasant vs Bluefire M1/M2/M3"|"Good level players that don't hit hard, who can control it, that's who it works well for.I still like the feel of Rasant more than T05, T05 always feels somehow ""mushy"" to me."|1|"[['Rasant','Tenergy 05','Overall','g']]"|"Rasant"|"Tenergy 05"|"Overall"|"g"||||||||
4172|"5f6c2cdc7da9e46ccbe155ce"|"Comparing Tenergy 05/64 vs Rasant vs Bluefire M1/M2/M3"|"If I had to cite differences, I would be that M2 does not feel quite as nice as T05 on blocks (although I certainly made the shot just as well), and it really shines on opening loops against underspin, or counterloops."|1|"[['Tenergy 05','Donic Bluefire M2','Good for blocking','g']]"|"Tenergy 05"|"Donic Bluefire M2"|"Good for blocking"|"g"||||||||
4270|"5f6c2d0e7da9e46ccbe155e8"|"Tibhar Evolution Series FX-P / MX-P"|"It plays a bit softer than Aurus, but i doubt the sponge is any softer."|2|"[['Tibhar Aurus','Evolution MX-P','Hardness','gt']]"|"Tibhar Aurus"|"Evolution MX-P"|"Hardness"|"gt"||||||||
4272|"5f6c2d0e7da9e46ccbe155e8"|"Tibhar Evolution Series FX-P / MX-P"|"Played pretty close to T64, even the sponge looked a lot like T64 sponge."|2|"[['Evolution MX-P','Tenergy 64','Overall','e']]"|"Evolution MX-P"|"Tenergy 64"|"Overall"|"e"||||||||
4330|"5f6c2d3d7da9e46ccbe155fc"|"Hexer hd vs Xiom Omega 4 pro/asia"|"Asia seems to have a noticeably softer sponge than Pro despite the claims to the contrary."|1|"[['Xiom Omega 4 Pro','Xiom Omega 4 Asia','Hardness','g']]"|"Xiom Omega 4 Pro"|"Xiom Omega 4 Asia"|"Hardness"|"g"||||||||
4332|"5f6c2d3d7da9e46ccbe155fc"|"Hexer hd vs Xiom Omega 4 pro/asia"|"Neither is very spinny until you fully engage the sponge on loop drives."|2|"[['Xiom Omega 4 Pro','Xiom Omega 4 Asia','Spin','e']]"|"Xiom Omega 4 Pro"|"Xiom Omega 4 Asia"|"Spin"|"e"||||||||
4360|"5f6c2d3d7da9e46ccbe155fc"|"Hexer hd vs Xiom Omega 4 pro/asia"|"The throw while blocking is low which is great and it is relatively insensitive to incoming spin.You could think of it as a Hexer HD with a touch softer and grippier topsheet, a softer sponge , more speed and spin.Like HD you really have to get some bat speed going and engage the sponge is you want that crazy spin.I use OIV Pro on my BH in max thickness."|2|"[['Xiom Omega 4 Pro','Andro Hexer HD','tackiness','g']]"|"Xiom Omega 4 Pro"|"Andro Hexer HD"|"tackiness"|"g"||||||||
4369|"5f6c2d3d7da9e46ccbe155fc"|"Hexer hd vs Xiom Omega 4 pro/asia"|"Xiom 4 Asia is a very good rubber, being using it for a long time now - in my opinion certainly better than Pro for my style and purposes.Cannot compare to Hexer HD but I am told that it is basically the same as Acuda S1 Turbo just under different brand."|1|"[['Xiom Omega 4 Asia','Acuda S1','Overall','e']]"|"Xiom Omega 4 Asia"|"Acuda S1"|"Overall"|"e"||||||||
4372|"5f6c2d3d7da9e46ccbe155fc"|"Hexer hd vs Xiom Omega 4 pro/asia"|"I think that both are very similar but the Pro has a softer topsheet!"|2|"[['Xiom Omega 4 Asia','Xiom Omega 4 Pro','Hardness','g']]"|"Xiom Omega 4 Asia"|"Xiom Omega 4 Pro"|"Hardness"|"g"||||||||
818|"5f6c272a6d99ef02106d72b7"|"999T or Nittaku Hurricane Turbo on Donic Waldner Back Devil"|"I'm not familiar with Hurricane Turbo, heard its faster than the original Hurricane which was itself a notch faster than the 999T."|1|"[['Nittaku Hurricane Turbo','Super 999T','speed','g']]"|"Nittaku Hurricane Turbo"|"Super 999T"|"speed"|"g"||||||||
825|"5f6c272a6d99ef02106d72b7"|"999T or Nittaku Hurricane Turbo on Donic Waldner Back Devil"|"The Globe stuff and the 999 Corporation stuff is pretty similar."|1|"[['Super 999T','Globe 999','overall','e']]"|"Super 999T"|"Globe 999"|"overall"|"e"||||||||
1362|"5f6c27964272aba9ab77568f"|"Tensor rubber for modern defender-T64/Tibhar Evo or another?"|"I know  that's why i have indecision  But from my experience Evolution is the closest to Tenergy- which one should be closest to T64?"|1|"[['Evolution MX-P','Tenergy 05','overall','e']]"|"Evolution MX-P"|"Tenergy 05"|"overall"|"e"||||||||
1397|"5f6c27964272aba9ab77568f"|"Tensor rubber for modern defender-T64/Tibhar Evo or another?"|"Similar to T64 but a tad spinnier."|2|"[['Evolution MX-P','Tenergy 64','spin','g']]"|"Evolution MX-P"|"Tenergy 64"|"spin"|"g"||||||||
1730|"5f6c286a4272aba9ab77570b"|"Donic Baracuda vs Yasaka Rakza 7/7 soft"|"Both rubbers have a decent high-throw but Rakza7 should be a little lower due to the harder sponge."|2|"[['Donic Baracuda','Yasaka Rakza','Throw','g']]"|"Donic Baracuda"|"Yasaka Rakza"|"Throw"|"g"||||||||
